date,city,weather_condition,rain_probability,temperature
2026-05-05,Hyderabad,Clear,0.22,32
2026-05-05,Pune,Clear,0.05,33
2026-05-05,Mysuru,Clear,0.17,37
2026-05-05,Kochi,Clear,0.23,34
2026-05-06,Chennai,Clear,0.15,29
2026-05-06,Vellore,Clear,0.0,29
2026-05-06,Bengaluru,Clear,0.14,28
2026-05-06,Visakhapatnam,Clear,0.2,30
2026-05-06,Coimbatore,Clear,0.06,33
2026-05-06,Vijayawada,Clear,0.1,29
2026-05-06,Hyderabad,Clear,0.13,34
2026-05-06,Pune,Clear,0.24,32
2026-05-06,Mysuru,Clear,0.24,29
2026-05-06,Kochi,Clear,0.13,32
2026-05-07,Chennai,Clear,0.23,30
2026-05-07,Vellore,Clear,0.21,29
2026-05-07,Bengaluru,Clear,0.23,32
2026-05-07,Visakhapatnam,Clear,0.06,35
2026-05-07,Coimbatore,Clear,0.05,38
2026-05-07,Vijayawada,Clear,0.03,38
2026-05-07,Hyderabad,Clear,0.18,35
2026-05-07,Pune,Clear,0.15,35
2026-05-07,Mysuru,Clear,0.11,38
2026-05-07,Kochi,Clear,0.08,36
2026-05-08,Chennai,Clear,0.16,29
2026-05-08,Vellore,Clear,0.11,30
2026-05-08,Bengaluru,Clear,0.09,30
2026-05-08,Visakhapatnam,Clear,0.08,37
2026-05-08,Coimbatore,Clear,0.25,38
2026-05-08,Vijayawada,Clear,0.14,32
2026-05-08,Hyderabad,Clear,0.05,37
2026-05-08,Pune,Clear,0.22,34
2026-05-08,Mysuru,Clear,0.16,36
2026-05-08,Kochi,Clear,0.17,28
2026-05-09,Chennai,Clear,0.22,36
2026-05-09,Vellore,Clear,0.04,34
2026-05-09,Bengaluru,Clear,0.23,35
2026-05-09,Visakhapatnam,Clear,0.18,37
2026-05-09,Coimbatore,Clear,0.21,36
2026-05-09,Vijayawada,Clear,0.15,29
2026-05-09,Hyderabad,Clear,0.08,34
2026-05-09,Pune,Clear,0.05,30
2026-05-09,Mysuru,Clear,0.23,38
2026-05-09,Kochi,Clear,0.02,33
2026-05-10,Chennai,Clear,0.23,38
2026-05-10,Vellore,Clear,0.14,30
2026-05-10,Bengaluru,Clear,0.13,33
2026-05-10,Visakhapatnam,Clear,0.12,37
2026-05-10,Coimbatore,Clear,0.08,31
2026-05-10,Vijayawada,Clear,0.06,36
2026-05-10,Hyderabad,Clear,0.08,34
2026-05-10,Pune,Clear,0.22,33
2026-05-10,Mysuru,Clear,0.03,29
2026-05-10,Kochi,Clear,0.02,31
2026-05-11,Chennai,Clear,0.16,31
2026-05-11,Vellore,Clear,0.22,37
2026-05-11,Bengaluru,Clear,0.06,33
2026-05-11,Visakhapatnam,Clear,0.04,30
2026-05-11,Coimbatore,Clear,0.06,33
2026-05-11,Vijayawada,Clear,0.06,38
2026-05-11,Hyderabad,Clear,0.06,37
2026-05-11,Pune,Clear,0.15,30
2026-05-11,Mysuru,Clear,0.09,28
2026-05-11,Kochi,Clear,0.19,29
2026-05-12,Chennai,Clear,0.03,34
2026-05-12,Vellore,Clear,0.12,34
2026-05-12,Bengaluru,Clear,0.18,34
2026-05-12,Visakhapatnam,Clear,0.0,33
2026-05-12,Coimbatore,Clear,0.05,35
2026-05-12,Vijayawada,Clear,0.09,35
2026-05-12,Hyderabad,Clear,0.02,33
2026-05-12,Pune,Clear,0.05,28
2026-05-12,Mysuru,Clear,0.19,34
2026-05-12,Kochi,Clear,0.06,28
2026-05-13,Chennai,Clear,0.02,37
2026-05-13,Vellore,Clear,0.18,35
2026-05-13,Bengaluru,Clear,0.16,35
2026-05-13,Visakhapatnam,Clear,0.04,37
2026-05-13,Coimbatore,Clear,0.17,28
2026-05-13,Vijayawada,Clear,0.0,34
2026-05-13,Hyderabad,Clear,0.24,35
2026-05-13,Pune,Clear,0.11,30
2026-05-13,Mysuru,Clear,0.19,37
2026-05-13,Kochi,Clear,0.09,36
2026-05-14,Chennai,Clear,0.08,31
2026-05-14,Vellore,Clear,0.03,32
2026-05-14,Bengaluru,Clear,0.0,32
2026-05-14,Visakhapatnam,Clear,0.02,38
2026-05-14,Coimbatore,Clear,0.23,34
2026-05-14,Vijayawada,Clear,0.19,29
2026-05-14,Hyderabad,Clear,0.2,37
2026-05-14,Pune,Clear,0.11,28
2026-05-14,Mysuru,Clear,0.05,29
2026-05-14,Kochi,Clear,0.19,36
2026-05-15,Chennai,Clear,0.0,34
2026-05-15,Vellore,Clear,0.18,30
2026-05-15,Bengaluru,Clear,0.08,29
2026-05-15,Visakhapatnam,Clear,0.23,30
2026-05-15,Coimbatore,Clear,0.08,33
2026-05-15,Vijayawada,Clear,0.05,38
2026-05-15,Hyderabad,Clear,0.17,31
2026-05-15,Pune,Clear,0.22,29
2026-05-15,Mysuru,Clear,0.2,28
2026-05-15,Kochi,Clear,0.07,32
2026-05-16,Chennai,Clear,0.07,38
2026-05-16,Vellore,Clear,0.14,36
2026-05-16,Bengaluru,Clear,0.24,37
2026-05-16,Visakhapatnam,Clear,0.08,36
2026-05-16,Coimbatore,Clear,0.2,36
2026-05-16,Vijayawada,Clear,0.18,33
2026-05-16,Hyderabad,Clear,0.17,29
2026-05-16,Pune,Clear,0.02,30
2026-05-16,Mysuru,Clear,0.01,35
2026-05-16,Kochi,Clear,0.18,31
2026-05-17,Chennai,Clear,0.06,31
2026-05-17,Vellore,Clear,0.0,33
2026-05-17,Bengaluru,Clear,0.03,37
2026-05-17,Visakhapatnam,Clear,0.02,37
2026-05-17,Coimbatore,Clear,0.05,31
2026-05-17,Vijayawada,Clear,0.06,34
2026-05-17,Hyderabad,Clear,0.19,38
2026-05-17,Pune,Clear,0.13,36
2026-05-17,Mysuru,Clear,0.09,36
2026-05-17,Kochi,Clear,0.09,36
2026-05-18,Chennai,Clear,0.08,28
2026-05-18,Vellore,Clear,0.22,30
2026-05-18,Bengaluru,Clear,0.14,30
2026-05-18,Visakhapatnam,Clear,0.12,33
2026-05-18,Coimbatore,Clear,0.11,32
2026-05-18,Vijayawada,Clear,0.07,38
2026-05-18,Hyderabad,Clear,0.02,36
2026-05-18,Pune,Clear,0.21,29
2026-05-18,Mysuru,Clear,0.16,33
2026-05-18,Kochi,Clear,0.07,28
2026-05-19,Chennai,Clear,0.14,37
2026-05-19,Vellore,Clear,0.22,37
2026-05-19,Bengaluru,Clear,0.09,38
2026-05-19,Visakhapatnam,Clear,0.21,37
2026-05-19,Coimbatore,Clear,0.03,29
2026-05-19,Vijayawada,Clear,0.16,28
2026-05-19,Hyderabad,Clear,0.23,37
2026-05-19,Pune,Clear,0.13,34
2026-05-19,Mysuru,Clear,0.14,31
2026-05-19,Kochi,Clear,0.21,28
2026-05-20,Chennai,Clear,0.17,34
2026-05-20,Vellore,Clear,0.13,37
2026-05-20,Bengaluru,Clear,0.18,38
2026-05-20,Visakhapatnam,Clear,0.03,35
2026-05-20,Coimbatore,Clear,0.16,36
2026-05-20,Vijayawada,Clear,0.11,29
2026-05-20,Hyderabad,Clear,0.05,31
2026-05-20,Pune,Clear,0.11,34
2026-05-20,Mysuru,Clear,0.17,36
2026-05-20,Kochi,Clear,0.11,37
2026-05-21,Chennai,Clear,0.22,31
2026-05-21,Vellore,Clear,0.24,35
2026-05-21,Bengaluru,Clear,0.05,30
2026-05-21,Visakhapatnam,Clear,0.0,32
2026-05-21,Coimbatore,Clear,0.07,31
2026-05-21,Vijayawada,Clear,0.1,32
2026-05-21,Hyderabad,Clear,0.08,28
2026-05-21,Pune,Clear,0.19,38
2026-05-21,Mysuru,Clear,0.25,33
2026-05-21,Kochi,Clear,0.23,29
2026-05-22,Chennai,Clear,0.01,31
2026-05-22,Vellore,Clear,0.1,35
2026-05-22,Bengaluru,Clear,0.17,37
2026-05-22,Visakhapatnam,Clear,0.23,30
2026-05-22,Coimbatore,Clear,0.12,32
2026-05-22,Vijayawada,Clear,0.08,31
2026-05-22,Hyderabad,Clear,0.22,32
2026-05-22,Pune,Clear,0.04,30
2026-05-22,Mysuru,Clear,0.02,30
2026-05-22,Kochi,Clear,0.09,30
2026-05-23,Chennai,Clear,0.19,37
2026-05-23,Vellore,Clear,0.14,36
2026-05-23,Bengaluru,Clear,0.16,28
2026-05-23,Visakhapatnam,Clear,0.21,36
2026-05-23,Coimbatore,Clear,0.17,33
2026-05-23,Vijayawada,Clear,0.15,31
2026-05-23,Hyderabad,Clear,0.15,32
2026-05-23,Pune,Clear,0.08,38
2026-05-23,Mysuru,Clear,0.16,37
2026-05-23,Kochi,Clear,0.12,31
2026-05-24,Chennai,Clear,0.03,34
2026-05-24,Vellore,Clear,0.05,33
2026-05-24,Bengaluru,Clear,0.16,38
2026-05-24,Visakhapatnam,Clear,0.14,33
2026-05-24,Coimbatore,Clear,0.17,38
2026-05-24,Vijayawada,Clear,0.21,33
2026-05-24,Hyderabad,Clear,0.23,35
2026-05-24,Pune,Clear,0.1,37
2026-05-24,Mysuru,Clear,0.1,30
2026-05-24,Kochi,Clear,0.04,28
2026-05-25,Chennai,Clear,0.07,33
2026-05-25,Vellore,Clear,0.06,37
2026-05-25,Bengaluru,Clear,0.14,36
2026-05-25,Visakhapatnam,Clear,0.2,38
2026-05-25,Coimbatore,Clear,0.07,28
2026-05-25,Vijayawada,Clear,0.11,34
2026-05-25,Hyderabad,Clear,0.13,33
2026-05-25,Pune,Clear,0.06,30
2026-05-25,Mysuru,Clear,0.16,34
2026-05-25,Kochi,Clear,0.1,33
2026-05-26,Chennai,Clear,0.17,38
2026-05-26,Vellore,Clear,0.13,32
2026-05-26,Bengaluru,Clear,0.07,35
2026-05-26,Visakhapatnam,Clear,0.08,33
2026-05-26,Coimbatore,Clear,0.22,34
2026-05-26,Vijayawada,Clear,0.14,29
2026-05-26,Hyderabad,Clear,0.08,28
2026-05-26,Pune,Clear,0.09,38
2026-05-26,Mysuru,Clear,0.0,34
2026-05-26,Kochi,Clear,0.14,38
2026-05-27,Chennai,Clear,0.14,29
2026-05-27,Vellore,Clear,0.01,33
2026-05-27,Bengaluru,Clear,0.02,35
2026-05-27,Visakhapatnam,Clear,0.18,31
2026-05-27,Coimbatore,Clear,0.03,30
2026-05-27,Vijayawada,Clear,0.15,36
2026-05-27,Hyderabad,Clear,0.12,30
2026-05-27,Pune,Clear,0.01,37
2026-05-27,Mysuru,Clear,0.15,35
2026-05-27,Kochi,Clear,0.1,31
2026-05-28,Chennai,Clear,0.16,28
2026-05-28,Vellore,Clear,0.25,29
2026-05-28,Bengaluru,Clear,0.22,37
2026-05-28,Visakhapatnam,Clear,0.0,36
2026-05-28,Coimbatore,Clear,0.17,28
2026-05-28,Vijayawada,Clear,0.09,29
2026-05-28,Hyderabad,Clear,0.22,32
2026-05-28,Pune,Clear,0.09,28
2026-05-28,Mysuru,Clear,0.14,31
2026-05-28,Kochi,Clear,0.23,28
2026-05-29,Chennai,Clear,0.09,32
2026-05-29,Vellore,Clear,0.02,31
2026-05-29,Bengaluru,Clear,0.17,32
2026-05-29,Visakhapatnam,Clear,0.05,36
2026-05-29,Coimbatore,Clear,0.24,35
2026-05-29,Vijayawada,Clear,0.03,35
2026-05-29,Hyderabad,Clear,0.07,34
2026-05-29,Pune,Clear,0.13,30
2026-05-29,Mysuru,Clear,0.16,31
2026-05-29,Kochi,Clear,0.02,36
2026-05-30,Chennai,Clear,0.24,29
2026-05-30,Vellore,Clear,0.24,29
2026-05-30,Bengaluru,Clear,0.19,32
2026-05-30,Visakhapatnam,Clear,0.07,37
2026-05-30,Coimbatore,Clear,0.25,34
2026-05-30,Vijayawada,Clear,0.09,38
2026-05-30,Hyderabad,Clear,0.2,36
2026-05-30,Pune,Clear,0.01,28
2026-05-30,Mysuru,Clear,0.05,30
2026-05-30,Kochi,Clear,0.15,33
2026-05-31,Chennai,Clear,0.22,29
2026-05-31,Vellore,Clear,0.08,36
2026-05-31,Bengaluru,Clear,0.21,34
2026-05-31,Visakhapatnam,Clear,0.16,28
2026-05-31,Coimbatore,Clear,0.07,34
2026-05-31,Vijayawada,Clear,0.23,34
2026-05-31,Hyderabad,Clear,0.19,35
2026-05-31,Pune,Clear,0.13,33
2026-05-31,Mysuru,Clear,0.03,34
2026-05-31,Kochi,Clear,0.15,28
2026-06-01,Chennai,Rain,0.42,36
2026-06-01,Vellore,Rain,0.43,30
2026-06-01,Bengaluru,Rain,0.43,35
2026-06-01,Visakhapatnam,Rain,0.55,33
2026-06-01,Coimbatore,Rain,0.41,34
2026-06-01,Vijayawada,Heavy Rain,0.77,33
2026-06-01,Hyderabad,Rain,0.63,32
2026-06-01,Pune,Heavy Rain,0.87,36
2026-06-01,Mysuru,Rain,0.57,29
2026-06-01,Kochi,Rain,0.41,36
2026-06-02,Chennai,Heavy Rain,0.73,31
2026-06-02,Vellore,Rain,0.42,34
2026-06-02,Bengaluru,Rain,0.41,38
2026-06-02,Visakhapatnam,Heavy Rain,0.84,36
2026-06-02,Coimbatore,Rain,0.62,31
2026-06-02,Vijayawada,Rain,0.48,33
2026-06-02,Hyderabad,Heavy Rain,0.75,37
2026-06-02,Pune,Heavy Rain,0.78,37
2026-06-02,Mysuru,Rain,0.42,32
2026-06-02,Kochi,Rain,0.54,33
2026-06-03,Chennai,Rain,0.57,31
2026-06-03,Vellore,Rain,0.5,35
2026-06-03,Bengaluru,Rain,0.43,32
2026-06-03,Visakhapatnam,Rain,0.54,37
2026-06-03,Coimbatore,Heavy Rain,0.82,38
2026-06-03,Vijayawada,Rain,0.49,29
2026-06-03,Hyderabad,Rain,0.63,36
2026-06-03,Pune,Heavy Rain,0.86,28
2026-06-03,Mysuru,Heavy Rain,0.9,29
2026-06-03,Kochi,Rain,0.56,33
2026-06-04,Chennai,Heavy Rain,0.8,32
2026-06-04,Vellore,Rain,0.55,34
2026-06-04,Bengaluru,Rain,0.43,36
2026-06-04,Visakhapatnam,Heavy Rain,0.79,36
2026-06-04,Coimbatore,Heavy Rain,0.87,31
2026-06-04,Vijayawada,Heavy Rain,0.76,38
2026-06-04,Hyderabad,Heavy Rain,0.88,38
2026-06-04,Pune,Heavy Rain,0.95,29
2026-06-04,Mysuru,Rain,0.55,28
2026-06-04,Kochi,Rain,0.53,34
2026-06-05,Chennai,Rain,0.41,32
2026-06-05,Vellore,Rain,0.67,38
2026-06-05,Bengaluru,Rain,0.54,34
2026-06-05,Visakhapatnam,Rain,0.42,34
2026-06-05,Coimbatore,Heavy Rain,0.84,28
2026-06-05,Vijayawada,Heavy Rain,0.86,35
2026-06-05,Hyderabad,Rain,0.52,37
2026-06-05,Pune,Heavy Rain,0.71,38
2026-06-05,Mysuru,Rain,0.45,34
2026-06-05,Kochi,Rain,0.64,32
2026-06-06,Chennai,Heavy Rain,0.76,35
2026-06-06,Vellore,Rain,0.56,29
2026-06-06,Bengaluru,Heavy Rain,0.91,35
2026-06-06,Visakhapatnam,Rain,0.44,38
2026-06-06,Coimbatore,Heavy Rain,0.85,38
2026-06-06,Vijayawada,Rain,0.63,36
2026-06-06,Hyderabad,Rain,0.66,28
2026-06-06,Pune,Rain,0.48,34
2026-06-06,Mysuru,Rain,0.59,38
2026-06-06,Kochi,Rain,0.51,38
2026-06-07,Chennai,Rain,0.49,38
2026-06-07,Vellore,Heavy Rain,0.94,33
2026-06-07,Bengaluru,Heavy Rain,0.75,31
2026-06-07,Visakhapatnam,Rain,0.46,38
2026-06-07,Coimbatore,Heavy Rain,0.84,30
2026-06-07,Vijayawada,Rain,0.59,34
2026-06-07,Hyderabad,Heavy Rain,0.86,36
2026-06-07,Pune,Rain,0.55,33
2026-06-07,Mysuru,Heavy Rain,0.82,32
2026-06-07,Kochi,Heavy Rain,0.93,37
2026-06-08,Chennai,Heavy Rain,0.77,37
2026-06-08,Vellore,Rain,0.67,34
2026-06-08,Bengaluru,Heavy Rain,0.74,30
2026-06-08,Visakhapatnam,Rain,0.66,35
2026-06-08,Coimbatore,Rain,0.43,33
2026-06-08,Vijayawada,Heavy Rain,0.83,29
2026-06-08,Hyderabad,Rain,0.41,37
2026-06-08,Pune,Rain,0.54,30
2026-06-08,Mysuru,Heavy Rain,0.93,28
2026-06-08,Kochi,Rain,0.55,33
2026-06-09,Chennai,Heavy Rain,0.82,36
2026-06-09,Vellore,Heavy Rain,0.71,29
2026-06-09,Bengaluru,Heavy Rain,0.9,35
2026-06-09,Visakhapatnam,Rain,0.6,37
2026-06-09,Coimbatore,Heavy Rain,0.88,37
2026-06-09,Vijayawada,Heavy Rain,0.84,30
2026-06-09,Hyderabad,Heavy Rain,0.83,38
2026-06-09,Pune,Heavy Rain,0.71,28
2026-06-09,Mysuru,Rain,0.68,31
2026-06-09,Kochi,Rain,0.49,38
2026-06-10,Chennai,Heavy Rain,0.73,32
2026-06-10,Vellore,Rain,0.55,29
2026-06-10,Bengaluru,Heavy Rain,0.93,30
2026-06-10,Visakhapatnam,Heavy Rain,0.86,38
2026-06-10,Coimbatore,Rain,0.5,30
2026-06-10,Vijayawada,Heavy Rain,0.73,36
2026-06-10,Hyderabad,Rain,0.58,28
2026-06-10,Pune,Heavy Rain,0.75,37
2026-06-10,Mysuru,Rain,0.65,33
2026-06-10,Kochi,Heavy Rain,0.77,30
2026-06-11,Chennai,Heavy Rain,0.82,29
2026-06-11,Vellore,Heavy Rain,0.73,30
2026-06-11,Bengaluru,Heavy Rain,0.79,33
2026-06-11,Visakhapatnam,Rain,0.49,35
2026-06-11,Coimbatore,Heavy Rain,0.92,32
2026-06-11,Vijayawada,Rain,0.65,36
2026-06-11,Hyderabad,Rain,0.55,38
2026-06-11,Pune,Heavy Rain,0.9,34
2026-06-11,Mysuru,Rain,0.56,30
2026-06-11,Kochi,Rain,0.44,28
2026-06-12,Chennai,Rain,0.65,30
2026-06-12,Vellore,Heavy Rain,0.77,38
2026-06-12,Bengaluru,Heavy Rain,0.78,33
2026-06-12,Visakhapatnam,Heavy Rain,0.73,37
2026-06-12,Coimbatore,Heavy Rain,0.82,28
2026-06-12,Vijayawada,Rain,0.57,34
2026-06-12,Hyderabad,Heavy Rain,0.88,32
2026-06-12,Pune,Heavy Rain,0.79,38
2026-06-12,Mysuru,Rain,0.46,29
2026-06-12,Kochi,Heavy Rain,0.94,34
2026-06-13,Chennai,Rain,0.61,30
2026-06-13,Vellore,Heavy Rain,0.84,32
2026-06-13,Bengaluru,Rain,0.6,38
2026-06-13,Visakhapatnam,Rain,0.68,33
2026-06-13,Coimbatore,Heavy Rain,0.73,29
2026-06-13,Vijayawada,Rain,0.52,29
2026-06-13,Hyderabad,Heavy Rain,0.88,28
2026-06-13,Pune,Rain,0.48,36
2026-06-13,Mysuru,Rain,0.42,32
2026-06-13,Kochi,Heavy Rain,0.74,34
2026-06-14,Chennai,Heavy Rain,0.79,36
2026-06-14,Vellore,Rain,0.43,33
2026-06-14,Bengaluru,Rain,0.67,32
2026-06-14,Visakhapatnam,Rain,0.51,34
2026-06-14,Coimbatore,Heavy Rain,0.75,33
2026-06-14,Vijayawada,Heavy Rain,0.74,38
2026-06-14,Hyderabad,Rain,0.6,38
2026-06-14,Pune,Rain,0.52,35
2026-06-14,Mysuru,Rain,0.69,37
2026-06-14,Kochi,Heavy Rain,0.77,37
2026-06-15,Chennai,Rain,0.48,35
2026-06-15,Vellore,Rain,0.62,28
2026-06-15,Bengaluru,Heavy Rain,0.93,31
2026-06-15,Visakhapatnam,Rain,0.69,35
2026-06-15,Coimbatore,Heavy Rain,0.85,35
2026-06-15,Vijayawada,Heavy Rain,0.94,29
2026-06-15,Hyderabad,Rain,0.66,34
2026-06-15,Pune,Rain,0.42,32
2026-06-15,Mysuru,Rain,0.53,37
2026-06-15,Kochi,Heavy Rain,0.88,33
2026-06-16,Chennai,Heavy Rain,0.85,31
2026-06-16,Vellore,Rain,0.51,32
2026-06-16,Bengaluru,Rain,0.5,31
2026-06-16,Visakhapatnam,Rain,0.54,38
2026-06-16,Coimbatore,Heavy Rain,0.78,36
2026-06-16,Vijayawada,Rain,0.66,32
2026-06-16,Hyderabad,Heavy Rain,0.88,37
2026-06-16,Pune,Heavy Rain,0.84,28
2026-06-16,Mysuru,Heavy Rain,0.91,37
2026-06-16,Kochi,Rain,0.51,34
2026-06-17,Chennai,Rain,0.55,30
2026-06-17,Vellore,Rain,0.48,33
2026-06-17,Bengaluru,Rain,0.64,36
2026-06-17,Visakhapatnam,Heavy Rain,0.88,38
2026-06-17,Coimbatore,Heavy Rain,0.83,37
2026-06-17,Vijayawada,Heavy Rain,0.93,36
2026-06-17,Hyderabad,Rain,0.56,37
2026-06-17,Pune,Heavy Rain,0.74,37
2026-06-17,Mysuru,Heavy Rain,0.88,36
2026-06-17,Kochi,Rain,0.62,28
2026-06-18,Chennai,Rain,0.61,28
2026-06-18,Vellore,Heavy Rain,0.76,33
2026-06-18,Bengaluru,Heavy Rain,0.73,36
2026-06-18,Visakhapatnam,Heavy Rain,0.88,30
2026-06-18,Coimbatore,Heavy Rain,0.82,34
2026-06-18,Vijayawada,Heavy Rain,0.74,28
2026-06-18,Hyderabad,Heavy Rain,0.88,29
2026-06-18,Pune,Rain,0.64,33
2026-06-18,Mysuru,Rain,0.56,28
2026-06-18,Kochi,Rain,0.46,33
2026-06-19,Chennai,Heavy Rain,0.78,36
2026-06-19,Vellore,Rain,0.4,30
2026-06-19,Bengaluru,Rain,0.44,35
2026-06-19,Visakhapatnam,Heavy Rain,0.93,35
2026-06-19,Coimbatore,Rain,0.53,35
2026-06-19,Vijayawada,Rain,0.7,36
2026-06-19,Hyderabad,Rain,0.43,37
2026-06-19,Pune,Heavy Rain,0.75,31
2026-06-19,Mysuru,Heavy Rain,0.78,35
2026-06-19,Kochi,Heavy Rain,0.93,30
2026-06-20,Chennai,Heavy Rain,0.73,36
2026-06-20,Vellore,Rain,0.49,29
2026-06-20,Bengaluru,Rain,0.44,32
2026-06-20,Visakhapatnam,Heavy Rain,0.87,38
2026-06-20,Coimbatore,Rain,0.6,35
2026-06-20,Vijayawada,Rain,0.49,29
2026-06-20,Hyderabad,Rain,0.59,35
2026-06-20,Pune,Rain,0.41,32
2026-06-20,Mysuru,Rain,0.52,36
2026-06-20,Kochi,Rain,0.43,38
2026-06-21,Chennai,Rain,0.47,35
2026-06-21,Vellore,Rain,0.67,32
2026-06-21,Bengaluru,Rain,0.61,30
2026-06-21,Visakhapatnam,Heavy Rain,0.77,35
2026-06-21,Coimbatore,Heavy Rain,0.78,37
2026-06-21,Vijayawada,Heavy Rain,0.78,31
2026-06-21,Hyderabad,Heavy Rain,0.83,37
2026-06-21,Pune,Rain,0.55,33
2026-06-21,Mysuru,Rain,0.66,33
2026-06-21,Kochi,Heavy Rain,0.72,33
2026-06-22,Chennai,Heavy Rain,0.78,35
2026-06-22,Vellore,Rain,0.53,36
2026-06-22,Bengaluru,Rain,0.69,28
2026-06-22,Visakhapatnam,Rain,0.66,35
2026-06-22,Coimbatore,Heavy Rain,0.81,28
2026-06-22,Vijayawada,Rain,0.56,35
2026-06-22,Hyderabad,Heavy Rain,0.8,28
2026-06-22,Pune,Heavy Rain,0.85,33
2026-06-22,Mysuru,Rain,0.62,30
2026-06-22,Kochi,Heavy Rain,0.87,30
2026-06-23,Chennai,Heavy Rain,0.73,31
2026-06-23,Vellore,Heavy Rain,0.74,30
2026-06-23,Bengaluru,Rain,0.62,37
2026-06-23,Visakhapatnam,Rain,0.65,38
2026-06-23,Coimbatore,Rain,0.6,38
2026-06-23,Vijayawada,Heavy Rain,0.8,29
2026-06-23,Hyderabad,Heavy Rain,0.91,31
2026-06-23,Pune,Rain,0.53,31
2026-06-23,Mysuru,Heavy Rain,0.71,28
2026-06-23,Kochi,Heavy Rain,0.79,38
2026-06-24,Chennai,Rain,0.55,31
2026-06-24,Vellore,Heavy Rain,0.77,35
2026-06-24,Bengaluru,Heavy Rain,0.72,33
2026-06-24,Visakhapatnam,Heavy Rain,0.71,38
2026-06-24,Coimbatore,Heavy Rain,0.83,38
2026-06-24,Vijayawada,Heavy Rain,0.77,28
2026-06-24,Hyderabad,Heavy Rain,0.85,34
2026-06-24,Pune,Rain,0.64,31
2026-06-24,Mysuru,Heavy Rain,0.73,28
2026-06-24,Kochi,Heavy Rain,0.71,36
2026-06-25,Chennai,Rain,0.67,37
2026-06-25,Vellore,Heavy Rain,0.88,30
2026-06-25,Bengaluru,Heavy Rain,0.83,33
2026-06-25,Visakhapatnam,Heavy Rain,0.75,31
2026-06-25,Coimbatore,Heavy Rain,0.72,33
2026-06-25,Vijayawada,Heavy Rain,0.94,36
2026-06-25,Hyderabad,Heavy Rain,0.9,32
2026-06-25,Pune,Rain,0.5,31
2026-06-25,Mysuru,Rain,0.54,30
2026-06-25,Kochi,Heavy Rain,0.89,35
2026-06-26,Chennai,Heavy Rain,0.75,36
2026-06-26,Vellore,Heavy Rain,0.86,28
2026-06-26,Bengaluru,Rain,0.66,34
2026-06-26,Visakhapatnam,Rain,0.48,38
2026-06-26,Coimbatore,Rain,0.48,36
2026-06-26,Vijayawada,Rain,0.68,31
2026-06-26,Hyderabad,Heavy Rain,0.78,31
2026-06-26,Pune,Heavy Rain,0.92,32
2026-06-26,Mysuru,Rain,0.46,28
2026-06-26,Kochi,Heavy Rain,0.94,29
2026-06-27,Chennai,Heavy Rain,0.76,33
2026-06-27,Vellore,Rain,0.68,38
2026-06-27,Bengaluru,Heavy Rain,0.8,32
2026-06-27,Visakhapatnam,Heavy Rain,0.93,32
2026-06-27,Coimbatore,Rain,0.57,37
2026-06-27,Vijayawada,Heavy Rain,0.86,32
2026-06-27,Hyderabad,Rain,0.51,28
2026-06-27,Pune,Heavy Rain,0.87,29
