date,site_id,equipment_type,rentals_count,rental_month,rental_week,season
2026-05-01,SITE004,Forklift,1,5,18,Dry
2026-05-01,SITE005,Excavator,10,5,18,Dry
2026-05-01,SITE005,Bulldozer,0,5,18,Dry
2026-05-01,SITE005,Wheel Loader,1,5,18,Dry
2026-05-01,SITE005,Motor Grader,2,5,18,Dry
2026-05-01,SITE005,Backhoe Loader,2,5,18,Dry
2026-05-01,SITE005,Skid Steer Loader,0,5,18,Dry
2026-05-01,SITE005,Road Roller,2,5,18,Dry
2026-05-01,SITE005,Dump Truck,2,5,18,Dry
2026-05-01,SITE005,Forklift,3,5,18,Dry
2026-05-01,SITE006,Excavator,2,5,18,Dry
2026-05-01,SITE006,Bulldozer,2,5,18,Dry
2026-05-01,SITE006,Wheel Loader,2,5,18,Dry
2026-05-01,SITE006,Motor Grader,1,5,18,Dry
2026-05-01,SITE006,Backhoe Loader,3,5,18,Dry
2026-05-01,SITE006,Skid Steer Loader,2,5,18,Dry
2026-05-01,SITE006,Road Roller,3,5,18,Dry
2026-05-01,SITE006,Dump Truck,2,5,18,Dry
2026-05-01,SITE006,Forklift,0,5,18,Dry
2026-05-01,SITE007,Excavator,2,5,18,Dry
2026-05-01,SITE007,Bulldozer,1,5,18,Dry
2026-05-01,SITE007,Wheel Loader,1,5,18,Dry
2026-05-01,SITE007,Motor Grader,3,5,18,Dry
2026-05-01,SITE007,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE007,Skid Steer Loader,4,5,18,Dry
2026-05-01,SITE007,Road Roller,2,5,18,Dry
2026-05-01,SITE007,Dump Truck,0,5,18,Dry
2026-05-01,SITE007,Forklift,4,5,18,Dry
2026-05-01,SITE008,Excavator,6,5,18,Dry
2026-05-01,SITE008,Bulldozer,2,5,18,Dry
2026-05-01,SITE008,Wheel Loader,0,5,18,Dry
2026-05-01,SITE008,Motor Grader,1,5,18,Dry
2026-05-01,SITE008,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE008,Skid Steer Loader,2,5,18,Dry
2026-05-01,SITE008,Road Roller,2,5,18,Dry
2026-05-01,SITE008,Dump Truck,5,5,18,Dry
2026-05-01,SITE008,Forklift,1,5,18,Dry
2026-05-01,SITE009,Excavator,7,5,18,Dry
2026-05-01,SITE009,Bulldozer,1,5,18,Dry
2026-05-01,SITE009,Wheel Loader,2,5,18,Dry
2026-05-01,SITE009,Motor Grader,1,5,18,Dry
2026-05-01,SITE009,Backhoe Loader,4,5,18,Dry
2026-05-01,SITE009,Skid Steer Loader,5,5,18,Dry
2026-05-01,SITE009,Road Roller,2,5,18,Dry
2026-05-01,SITE009,Dump Truck,1,5,18,Dry
2026-05-01,SITE009,Forklift,3,5,18,Dry
2026-05-01,SITE010,Excavator,7,5,18,Dry
2026-05-01,SITE010,Bulldozer,1,5,18,Dry
2026-05-01,SITE010,Wheel Loader,5,5,18,Dry
2026-05-01,SITE010,Motor Grader,5,5,18,Dry
2026-05-01,SITE010,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE010,Skid Steer Loader,1,5,18,Dry
2026-05-01,SITE010,Road Roller,2,5,18,Dry
2026-05-01,SITE010,Dump Truck,1,5,18,Dry
2026-05-01,SITE010,Forklift,0,5,18,Dry
2026-05-01,SITE011,Excavator,4,5,18,Dry
2026-05-01,SITE011,Bulldozer,1,5,18,Dry
2026-05-01,SITE011,Wheel Loader,0,5,18,Dry
2026-05-01,SITE011,Motor Grader,0,5,18,Dry
2026-05-01,SITE011,Backhoe Loader,3,5,18,Dry
2026-05-01,SITE011,Skid Steer Loader,3,5,18,Dry
2026-05-01,SITE011,Road Roller,1,5,18,Dry
2026-05-01,SITE011,Dump Truck,0,5,18,Dry
2026-05-01,SITE011,Forklift,0,5,18,Dry
2026-05-01,SITE012,Excavator,5,5,18,Dry
2026-05-01,SITE012,Bulldozer,2,5,18,Dry
2026-05-01,SITE012,Wheel Loader,3,5,18,Dry
2026-05-01,SITE012,Motor Grader,3,5,18,Dry
2026-05-01,SITE012,Backhoe Loader,2,5,18,Dry
2026-05-01,SITE012,Skid Steer Loader,0,5,18,Dry
2026-05-01,SITE012,Road Roller,0,5,18,Dry
2026-05-01,SITE012,Dump Truck,0,5,18,Dry
2026-05-01,SITE012,Forklift,3,5,18,Dry
2026-05-01,SITE013,Excavator,3,5,18,Dry
2026-05-01,SITE013,Bulldozer,3,5,18,Dry
2026-05-01,SITE013,Wheel Loader,2,5,18,Dry
2026-05-01,SITE013,Motor Grader,2,5,18,Dry
2026-05-01,SITE013,Backhoe Loader,0,5,18,Dry
2026-05-01,SITE013,Skid Steer Loader,1,5,18,Dry
2026-05-01,SITE013,Road Roller,3,5,18,Dry
2026-05-01,SITE013,Dump Truck,4,5,18,Dry
2026-05-01,SITE013,Forklift,3,5,18,Dry
2026-05-01,SITE014,Excavator,1,5,18,Dry
2026-05-01,SITE014,Bulldozer,0,5,18,Dry
2026-05-01,SITE014,Wheel Loader,1,5,18,Dry
2026-05-01,SITE014,Motor Grader,2,5,18,Dry
2026-05-01,SITE014,Backhoe Loader,2,5,18,Dry
2026-05-01,SITE014,Skid Steer Loader,5,5,18,Dry
2026-05-01,SITE014,Road Roller,1,5,18,Dry
2026-05-01,SITE014,Dump Truck,3,5,18,Dry
2026-05-01,SITE014,Forklift,4,5,18,Dry
2026-05-01,SITE015,Excavator,6,5,18,Dry
2026-05-01,SITE015,Bulldozer,2,5,18,Dry
2026-05-01,SITE015,Wheel Loader,1,5,18,Dry
2026-05-01,SITE015,Motor Grader,4,5,18,Dry
2026-05-01,SITE015,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE015,Skid Steer Loader,3,5,18,Dry
2026-05-01,SITE015,Road Roller,1,5,18,Dry
2026-05-01,SITE015,Dump Truck,1,5,18,Dry
2026-05-01,SITE015,Forklift,3,5,18,Dry
2026-05-01,SITE016,Excavator,1,5,18,Dry
2026-05-01,SITE016,Bulldozer,2,5,18,Dry
2026-05-01,SITE016,Wheel Loader,0,5,18,Dry
2026-05-01,SITE016,Motor Grader,1,5,18,Dry
2026-05-01,SITE016,Backhoe Loader,2,5,18,Dry
2026-05-01,SITE016,Skid Steer Loader,0,5,18,Dry
2026-05-01,SITE016,Road Roller,3,5,18,Dry
2026-05-01,SITE016,Dump Truck,4,5,18,Dry
2026-05-01,SITE016,Forklift,4,5,18,Dry
2026-05-01,SITE017,Excavator,1,5,18,Dry
2026-05-01,SITE017,Bulldozer,1,5,18,Dry
2026-05-01,SITE017,Wheel Loader,0,5,18,Dry
2026-05-01,SITE017,Motor Grader,0,5,18,Dry
2026-05-01,SITE017,Backhoe Loader,4,5,18,Dry
2026-05-01,SITE017,Skid Steer Loader,2,5,18,Dry
2026-05-01,SITE017,Road Roller,1,5,18,Dry
2026-05-01,SITE017,Dump Truck,1,5,18,Dry
2026-05-01,SITE017,Forklift,3,5,18,Dry
2026-05-01,SITE018,Excavator,9,5,18,Dry
2026-05-01,SITE018,Bulldozer,3,5,18,Dry
2026-05-01,SITE018,Wheel Loader,2,5,18,Dry
2026-05-01,SITE018,Motor Grader,2,5,18,Dry
2026-05-01,SITE018,Backhoe Loader,0,5,18,Dry
2026-05-01,SITE018,Skid Steer Loader,4,5,18,Dry
2026-05-01,SITE018,Road Roller,2,5,18,Dry
2026-05-01,SITE018,Dump Truck,5,5,18,Dry
2026-05-01,SITE018,Forklift,2,5,18,Dry
2026-05-01,SITE019,Excavator,1,5,18,Dry
2026-05-01,SITE019,Bulldozer,2,5,18,Dry
2026-05-01,SITE019,Wheel Loader,5,5,18,Dry
2026-05-01,SITE019,Motor Grader,1,5,18,Dry
2026-05-01,SITE019,Backhoe Loader,0,5,18,Dry
2026-05-01,SITE019,Skid Steer Loader,8,5,18,Dry
2026-05-01,SITE019,Road Roller,1,5,18,Dry
2026-05-01,SITE019,Dump Truck,2,5,18,Dry
2026-05-01,SITE019,Forklift,3,5,18,Dry
2026-05-01,SITE020,Excavator,8,5,18,Dry
2026-05-01,SITE020,Bulldozer,0,5,18,Dry
2026-05-01,SITE020,Wheel Loader,0,5,18,Dry
2026-05-01,SITE020,Motor Grader,3,5,18,Dry
2026-05-01,SITE020,Backhoe Loader,1,5,18,Dry
2026-05-01,SITE020,Skid Steer Loader,2,5,18,Dry
2026-05-01,SITE020,Road Roller,3,5,18,Dry
2026-05-01,SITE020,Dump Truck,5,5,18,Dry
2026-05-01,SITE020,Forklift,2,5,18,Dry
2026-05-02,SITE001,Excavator,5,5,18,Dry
2026-05-02,SITE001,Bulldozer,0,5,18,Dry
2026-05-02,SITE001,Wheel Loader,0,5,18,Dry
2026-05-02,SITE001,Motor Grader,0,5,18,Dry
2026-05-02,SITE001,Backhoe Loader,1,5,18,Dry
2026-05-02,SITE001,Skid Steer Loader,1,5,18,Dry
2026-05-02,SITE001,Road Roller,3,5,18,Dry
2026-05-02,SITE001,Dump Truck,1,5,18,Dry
2026-05-02,SITE001,Forklift,0,5,18,Dry
2026-05-02,SITE002,Excavator,2,5,18,Dry
2026-05-02,SITE002,Bulldozer,0,5,18,Dry
2026-05-02,SITE002,Wheel Loader,0,5,18,Dry
2026-05-02,SITE002,Motor Grader,1,5,18,Dry
2026-05-02,SITE002,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE002,Skid Steer Loader,0,5,18,Dry
2026-05-02,SITE002,Road Roller,2,5,18,Dry
2026-05-02,SITE002,Dump Truck,2,5,18,Dry
2026-05-02,SITE002,Forklift,3,5,18,Dry
2026-05-02,SITE003,Excavator,4,5,18,Dry
2026-05-02,SITE003,Bulldozer,2,5,18,Dry
2026-05-02,SITE003,Wheel Loader,3,5,18,Dry
2026-05-02,SITE003,Motor Grader,1,5,18,Dry
2026-05-02,SITE003,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE003,Skid Steer Loader,1,5,18,Dry
2026-05-02,SITE003,Road Roller,0,5,18,Dry
2026-05-02,SITE003,Dump Truck,1,5,18,Dry
2026-05-02,SITE003,Forklift,1,5,18,Dry
2026-05-02,SITE004,Excavator,5,5,18,Dry
2026-05-02,SITE004,Bulldozer,3,5,18,Dry
2026-05-02,SITE004,Wheel Loader,0,5,18,Dry
2026-05-02,SITE004,Motor Grader,1,5,18,Dry
2026-05-02,SITE004,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE004,Skid Steer Loader,3,5,18,Dry
2026-05-02,SITE004,Road Roller,1,5,18,Dry
2026-05-02,SITE004,Dump Truck,1,5,18,Dry
2026-05-02,SITE004,Forklift,1,5,18,Dry
2026-05-02,SITE005,Excavator,3,5,18,Dry
2026-05-02,SITE005,Bulldozer,1,5,18,Dry
2026-05-02,SITE005,Wheel Loader,4,5,18,Dry
2026-05-02,SITE005,Motor Grader,1,5,18,Dry
2026-05-02,SITE005,Backhoe Loader,3,5,18,Dry
2026-05-02,SITE005,Skid Steer Loader,2,5,18,Dry
2026-05-02,SITE005,Road Roller,2,5,18,Dry
2026-05-02,SITE005,Dump Truck,0,5,18,Dry
2026-05-02,SITE005,Forklift,2,5,18,Dry
2026-05-02,SITE006,Excavator,3,5,18,Dry
2026-05-02,SITE006,Bulldozer,1,5,18,Dry
2026-05-02,SITE006,Wheel Loader,0,5,18,Dry
2026-05-02,SITE006,Motor Grader,3,5,18,Dry
2026-05-02,SITE006,Backhoe Loader,4,5,18,Dry
2026-05-02,SITE006,Skid Steer Loader,4,5,18,Dry
2026-05-02,SITE006,Road Roller,2,5,18,Dry
2026-05-02,SITE006,Dump Truck,0,5,18,Dry
2026-05-02,SITE006,Forklift,3,5,18,Dry
2026-05-02,SITE007,Excavator,3,5,18,Dry
2026-05-02,SITE007,Bulldozer,3,5,18,Dry
2026-05-02,SITE007,Wheel Loader,3,5,18,Dry
2026-05-02,SITE007,Motor Grader,2,5,18,Dry
2026-05-02,SITE007,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE007,Skid Steer Loader,4,5,18,Dry
2026-05-02,SITE007,Road Roller,0,5,18,Dry
2026-05-02,SITE007,Dump Truck,3,5,18,Dry
2026-05-02,SITE007,Forklift,5,5,18,Dry
2026-05-02,SITE008,Excavator,3,5,18,Dry
2026-05-02,SITE008,Bulldozer,3,5,18,Dry
2026-05-02,SITE008,Wheel Loader,1,5,18,Dry
2026-05-02,SITE008,Motor Grader,1,5,18,Dry
2026-05-02,SITE008,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE008,Skid Steer Loader,2,5,18,Dry
2026-05-02,SITE008,Road Roller,3,5,18,Dry
2026-05-02,SITE008,Dump Truck,1,5,18,Dry
2026-05-02,SITE008,Forklift,3,5,18,Dry
2026-05-02,SITE009,Excavator,5,5,18,Dry
2026-05-02,SITE009,Bulldozer,6,5,18,Dry
2026-05-02,SITE009,Wheel Loader,3,5,18,Dry
2026-05-02,SITE009,Motor Grader,3,5,18,Dry
2026-05-02,SITE009,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE009,Skid Steer Loader,4,5,18,Dry
2026-05-02,SITE009,Road Roller,0,5,18,Dry
2026-05-02,SITE009,Dump Truck,2,5,18,Dry
2026-05-02,SITE009,Forklift,1,5,18,Dry
2026-05-02,SITE010,Excavator,6,5,18,Dry
2026-05-02,SITE010,Bulldozer,1,5,18,Dry
2026-05-02,SITE010,Wheel Loader,1,5,18,Dry
2026-05-02,SITE010,Motor Grader,3,5,18,Dry
2026-05-02,SITE010,Backhoe Loader,1,5,18,Dry
2026-05-02,SITE010,Skid Steer Loader,1,5,18,Dry
2026-05-02,SITE010,Road Roller,2,5,18,Dry
2026-05-02,SITE010,Dump Truck,0,5,18,Dry
2026-05-02,SITE010,Forklift,3,5,18,Dry
2026-05-02,SITE011,Excavator,4,5,18,Dry
2026-05-02,SITE011,Bulldozer,0,5,18,Dry
2026-05-02,SITE011,Wheel Loader,2,5,18,Dry
2026-05-02,SITE011,Motor Grader,3,5,18,Dry
2026-05-02,SITE011,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE011,Skid Steer Loader,3,5,18,Dry
2026-05-02,SITE011,Road Roller,2,5,18,Dry
2026-05-02,SITE011,Dump Truck,0,5,18,Dry
2026-05-02,SITE011,Forklift,1,5,18,Dry
2026-05-02,SITE012,Excavator,1,5,18,Dry
2026-05-02,SITE012,Bulldozer,1,5,18,Dry
2026-05-02,SITE012,Wheel Loader,1,5,18,Dry
2026-05-02,SITE012,Motor Grader,0,5,18,Dry
2026-05-02,SITE012,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE012,Skid Steer Loader,1,5,18,Dry
2026-05-02,SITE012,Road Roller,3,5,18,Dry
2026-05-02,SITE012,Dump Truck,2,5,18,Dry
2026-05-02,SITE012,Forklift,2,5,18,Dry
2026-05-02,SITE013,Excavator,1,5,18,Dry
2026-05-02,SITE013,Bulldozer,0,5,18,Dry
2026-05-02,SITE013,Wheel Loader,1,5,18,Dry
2026-05-02,SITE013,Motor Grader,3,5,18,Dry
2026-05-02,SITE013,Backhoe Loader,1,5,18,Dry
2026-05-02,SITE013,Skid Steer Loader,2,5,18,Dry
2026-05-02,SITE013,Road Roller,2,5,18,Dry
2026-05-02,SITE013,Dump Truck,3,5,18,Dry
2026-05-02,SITE013,Forklift,4,5,18,Dry
2026-05-02,SITE014,Excavator,1,5,18,Dry
2026-05-02,SITE014,Bulldozer,2,5,18,Dry
2026-05-02,SITE014,Wheel Loader,1,5,18,Dry
2026-05-02,SITE014,Motor Grader,2,5,18,Dry
2026-05-02,SITE014,Backhoe Loader,1,5,18,Dry
2026-05-02,SITE014,Skid Steer Loader,1,5,18,Dry
2026-05-02,SITE014,Road Roller,2,5,18,Dry
2026-05-02,SITE014,Dump Truck,2,5,18,Dry
2026-05-02,SITE014,Forklift,0,5,18,Dry
2026-05-02,SITE015,Excavator,6,5,18,Dry
2026-05-02,SITE015,Bulldozer,3,5,18,Dry
2026-05-02,SITE015,Wheel Loader,0,5,18,Dry
2026-05-02,SITE015,Motor Grader,1,5,18,Dry
2026-05-02,SITE015,Backhoe Loader,0,5,18,Dry
2026-05-02,SITE015,Skid Steer Loader,2,5,18,Dry
2026-05-02,SITE015,Road Roller,1,5,18,Dry
2026-05-02,SITE015,Dump Truck,2,5,18,Dry
2026-05-02,SITE015,Forklift,4,5,18,Dry
2026-05-02,SITE016,Excavator,1,5,18,Dry
2026-05-02,SITE016,Bulldozer,1,5,18,Dry
2026-05-02,SITE016,Wheel Loader,2,5,18,Dry
2026-05-02,SITE016,Motor Grader,1,5,18,Dry
2026-05-02,SITE016,Backhoe Loader,0,5,18,Dry
2026-05-02,SITE016,Skid Steer Loader,3,5,18,Dry
2026-05-02,SITE016,Road Roller,3,5,18,Dry
2026-05-02,SITE016,Dump Truck,2,5,18,Dry
2026-05-02,SITE016,Forklift,0,5,18,Dry
2026-05-02,SITE017,Excavator,4,5,18,Dry
2026-05-02,SITE017,Bulldozer,5,5,18,Dry
2026-05-02,SITE017,Wheel Loader,2,5,18,Dry
2026-05-02,SITE017,Motor Grader,3,5,18,Dry
2026-05-02,SITE017,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE017,Skid Steer Loader,2,5,18,Dry
2026-05-02,SITE017,Road Roller,5,5,18,Dry
2026-05-02,SITE017,Dump Truck,4,5,18,Dry
2026-05-02,SITE017,Forklift,2,5,18,Dry
2026-05-02,SITE018,Excavator,2,5,18,Dry
2026-05-02,SITE018,Bulldozer,1,5,18,Dry
2026-05-02,SITE018,Wheel Loader,2,5,18,Dry
2026-05-02,SITE018,Motor Grader,3,5,18,Dry
2026-05-02,SITE018,Backhoe Loader,1,5,18,Dry
2026-05-02,SITE018,Skid Steer Loader,1,5,18,Dry
2026-05-02,SITE018,Road Roller,5,5,18,Dry
2026-05-02,SITE018,Dump Truck,3,5,18,Dry
2026-05-02,SITE018,Forklift,4,5,18,Dry
2026-05-02,SITE019,Excavator,3,5,18,Dry
2026-05-02,SITE019,Bulldozer,1,5,18,Dry
2026-05-02,SITE019,Wheel Loader,1,5,18,Dry
2026-05-02,SITE019,Motor Grader,0,5,18,Dry
2026-05-02,SITE019,Backhoe Loader,3,5,18,Dry
2026-05-02,SITE019,Skid Steer Loader,3,5,18,Dry
2026-05-02,SITE019,Road Roller,4,5,18,Dry
2026-05-02,SITE019,Dump Truck,2,5,18,Dry
2026-05-02,SITE019,Forklift,4,5,18,Dry
2026-05-02,SITE020,Excavator,2,5,18,Dry
2026-05-02,SITE020,Bulldozer,2,5,18,Dry
2026-05-02,SITE020,Wheel Loader,5,5,18,Dry
2026-05-02,SITE020,Motor Grader,2,5,18,Dry
2026-05-02,SITE020,Backhoe Loader,2,5,18,Dry
2026-05-02,SITE020,Skid Steer Loader,3,5,18,Dry
2026-05-02,SITE020,Road Roller,2,5,18,Dry
2026-05-02,SITE020,Dump Truck,6,5,18,Dry
2026-05-02,SITE020,Forklift,2,5,18,Dry
2026-05-03,SITE001,Excavator,3,5,18,Dry
2026-05-03,SITE001,Bulldozer,1,5,18,Dry
2026-05-03,SITE001,Wheel Loader,3,5,18,Dry
2026-05-03,SITE001,Motor Grader,3,5,18,Dry
2026-05-03,SITE001,Backhoe Loader,3,5,18,Dry
2026-05-03,SITE001,Skid Steer Loader,6,5,18,Dry
2026-05-03,SITE001,Road Roller,1,5,18,Dry
2026-05-03,SITE001,Dump Truck,2,5,18,Dry
2026-05-03,SITE001,Forklift,1,5,18,Dry
2026-05-03,SITE002,Excavator,5,5,18,Dry
2026-05-03,SITE002,Bulldozer,0,5,18,Dry
2026-05-03,SITE002,Wheel Loader,3,5,18,Dry
2026-05-03,SITE002,Motor Grader,2,5,18,Dry
2026-05-03,SITE002,Backhoe Loader,1,5,18,Dry
2026-05-03,SITE002,Skid Steer Loader,4,5,18,Dry
2026-05-03,SITE002,Road Roller,1,5,18,Dry
2026-05-03,SITE002,Dump Truck,2,5,18,Dry
2026-05-03,SITE002,Forklift,2,5,18,Dry
2026-05-03,SITE003,Excavator,3,5,18,Dry
2026-05-03,SITE003,Bulldozer,4,5,18,Dry
2026-05-03,SITE003,Wheel Loader,1,5,18,Dry
2026-05-03,SITE003,Motor Grader,0,5,18,Dry
2026-05-03,SITE003,Backhoe Loader,2,5,18,Dry
2026-05-03,SITE003,Skid Steer Loader,2,5,18,Dry
2026-05-03,SITE003,Road Roller,3,5,18,Dry
2026-05-03,SITE003,Dump Truck,2,5,18,Dry
2026-05-03,SITE003,Forklift,0,5,18,Dry
2026-05-03,SITE004,Excavator,4,5,18,Dry
2026-05-03,SITE004,Bulldozer,3,5,18,Dry
2026-05-03,SITE004,Wheel Loader,1,5,18,Dry
2026-05-03,SITE004,Motor Grader,3,5,18,Dry
2026-05-03,SITE004,Backhoe Loader,1,5,18,Dry
2026-05-03,SITE004,Skid Steer Loader,3,5,18,Dry
2026-05-03,SITE004,Road Roller,3,5,18,Dry
2026-05-03,SITE004,Dump Truck,4,5,18,Dry
2026-05-03,SITE004,Forklift,0,5,18,Dry
2026-05-03,SITE005,Excavator,5,5,18,Dry
2026-05-03,SITE005,Bulldozer,2,5,18,Dry
2026-05-03,SITE005,Wheel Loader,1,5,18,Dry
2026-05-03,SITE005,Motor Grader,2,5,18,Dry
2026-05-03,SITE005,Backhoe Loader,2,5,18,Dry
2026-05-03,SITE005,Skid Steer Loader,0,5,18,Dry
2026-05-03,SITE005,Road Roller,2,5,18,Dry
2026-05-03,SITE005,Dump Truck,4,5,18,Dry
2026-05-03,SITE005,Forklift,1,5,18,Dry
2026-05-03,SITE006,Excavator,3,5,18,Dry
2026-05-03,SITE006,Bulldozer,3,5,18,Dry
2026-05-03,SITE006,Wheel Loader,2,5,18,Dry
2026-05-03,SITE006,Motor Grader,1,5,18,Dry
2026-05-03,SITE006,Backhoe Loader,0,5,18,Dry
2026-05-03,SITE006,Skid Steer Loader,1,5,18,Dry
2026-05-03,SITE006,Road Roller,3,5,18,Dry
2026-05-03,SITE006,Dump Truck,1,5,18,Dry
2026-05-03,SITE006,Forklift,2,5,18,Dry
2026-05-03,SITE007,Excavator,4,5,18,Dry
2026-05-03,SITE007,Bulldozer,4,5,18,Dry
2026-05-03,SITE007,Wheel Loader,4,5,18,Dry
2026-05-03,SITE007,Motor Grader,2,5,18,Dry
2026-05-03,SITE007,Backhoe Loader,0,5,18,Dry
2026-05-03,SITE007,Skid Steer Loader,1,5,18,Dry
2026-05-03,SITE007,Road Roller,3,5,18,Dry
2026-05-03,SITE007,Dump Truck,2,5,18,Dry
2026-05-03,SITE007,Forklift,3,5,18,Dry
2026-05-03,SITE008,Excavator,5,5,18,Dry
2026-05-03,SITE008,Bulldozer,0,5,18,Dry
2026-05-03,SITE008,Wheel Loader,1,5,18,Dry
2026-05-03,SITE008,Motor Grader,4,5,18,Dry
2026-05-03,SITE008,Backhoe Loader,2,5,18,Dry
2026-05-03,SITE008,Skid Steer Loader,4,5,18,Dry
2026-05-03,SITE008,Road Roller,3,5,18,Dry
2026-05-03,SITE008,Dump Truck,2,5,18,Dry
2026-05-03,SITE008,Forklift,3,5,18,Dry
2026-05-03,SITE009,Excavator,5,5,18,Dry
2026-05-03,SITE009,Bulldozer,2,5,18,Dry
2026-05-03,SITE009,Wheel Loader,3,5,18,Dry
2026-05-03,SITE009,Motor Grader,1,5,18,Dry
2026-05-03,SITE009,Backhoe Loader,2,5,18,Dry
2026-05-03,SITE009,Skid Steer Loader,3,5,18,Dry
2026-05-03,SITE009,Road Roller,2,5,18,Dry
2026-05-03,SITE009,Dump Truck,0,5,18,Dry
2026-05-03,SITE009,Forklift,1,5,18,Dry
2026-05-03,SITE010,Excavator,5,5,18,Dry
2026-05-03,SITE010,Bulldozer,1,5,18,Dry
2026-05-03,SITE010,Wheel Loader,0,5,18,Dry
2026-05-03,SITE010,Motor Grader,5,5,18,Dry
2026-05-03,SITE010,Backhoe Loader,2,5,18,Dry
2026-05-03,SITE010,Skid Steer Loader,1,5,18,Dry
2026-05-03,SITE010,Road Roller,2,5,18,Dry
2026-05-03,SITE010,Dump Truck,0,5,18,Dry
2026-05-03,SITE010,Forklift,2,5,18,Dry
2026-05-03,SITE011,Excavator,2,5,18,Dry
2026-05-03,SITE011,Bulldozer,2,5,18,Dry
2026-05-03,SITE011,Wheel Loader,4,5,18,Dry
2026-05-03,SITE011,Motor Grader,2,5,18,Dry
2026-05-03,SITE011,Backhoe Loader,0,5,18,Dry
2026-05-03,SITE011,Skid Steer Loader,2,5,18,Dry
2026-05-03,SITE011,Road Roller,2,5,18,Dry
2026-05-03,SITE011,Dump Truck,3,5,18,Dry
2026-05-03,SITE011,Forklift,5,5,18,Dry
2026-05-03,SITE012,Excavator,2,5,18,Dry
2026-05-03,SITE012,Bulldozer,3,5,18,Dry
2026-05-03,SITE012,Wheel Loader,3,5,18,Dry
2026-05-03,SITE012,Motor Grader,2,5,18,Dry
2026-05-03,SITE012,Backhoe Loader,5,5,18,Dry
2026-05-03,SITE012,Skid Steer Loader,2,5,18,Dry
2026-05-03,SITE012,Road Roller,5,5,18,Dry
2026-05-03,SITE012,Dump Truck,0,5,18,Dry
2026-05-03,SITE012,Forklift,1,5,18,Dry
2026-05-03,SITE013,Excavator,4,5,18,Dry
2026-05-03,SITE013,Bulldozer,1,5,18,Dry
2026-05-03,SITE013,Wheel Loader,1,5,18,Dry
2026-05-03,SITE013,Motor Grader,0,5,18,Dry
2026-05-03,SITE013,Backhoe Loader,3,5,18,Dry
2026-05-03,SITE013,Skid Steer Loader,3,5,18,Dry
2026-05-03,SITE013,Road Roller,0,5,18,Dry
2026-05-03,SITE013,Dump Truck,1,5,18,Dry
2026-05-03,SITE013,Forklift,2,5,18,Dry
2026-05-03,SITE014,Excavator,5,5,18,Dry
